what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1271975496207
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975504282
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975574488
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271975574502
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975576405
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975580763
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975580815
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975597364
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975599017
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975604097
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1271975604125
activated,editor,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui.internal.editor.AntEditor",1271975608378
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1271975608437
closed,editor,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui.internal.editor.AntEditor",1271975608437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975613693
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975738525
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975741052
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975743238
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975743414
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1271975744717
